"Story","Title","Result","Date","Stability","Duration (s)"
"User registration","Successful registration","SUCCESS","2021-03-18T19:28:12.953-05:00[America/Bogota]","0.0","26.69"
"User registration","Registration failed by username","SUCCESS","2021-03-18T19:28:39.667-05:00[America/Bogota]","0.0","67.52"
